Title,Authors,Year,Journal,Language,CitedByCount,Affiliation,Predicted Subject Area
Social Progress for Resilient Regions,van Ballekom P.,2018,Region,Unknown Language,0,European Investment Bank,SOCI
Fashion language and translatology,Bojović B.,2018,Babel,Unknown Language,0,University of Montenegro,"ARTS, SOCI"
A pragmatic framework to note-taking in consecutive interpretation,Abuarrah S.,2018,Babel,Unknown Language,0,An-Najah National University,"ECON, SOCI"
An Analytic Approximation to the Density of Twin Primes,Azura R.B.,2018,Recoletos Multidisciplinary Research Journal,Unknown Language,0,Agusan del Sur State College of Agriculture and Technology,"MEDI, ENGI"
DANCE MOTIFS ON PREHISTORIC POTTERY FROM EASTERN CROATIA,Turčin I.,2018,Vjesnik Arheoloskog Muzeja u Zagrebu,Unknown Language,0,Centre for Experimental Archaeology,"SOCI, ARTS"
Ricoeur’s Hermeneutics: Transforming Political Structures into Just Institutions through the Critical Appropriation of Political Power,Itao A.,2018,Recoletos Multidisciplinary Research Journal,Unknown Language,1,Cebu Normal University,SOCI
Socio-Economic Indicators of Coastal Resource Management Participation: The Bataan Case,Perdio A.,2018,Recoletos Multidisciplinary Research Journal,Unknown Language,0,Bataan Peninsula State University,"BUSI, ECON"
Geographic Information System-Based Suitability Analysis for Potential Shallow Tube-Well Irrigation Development,Agcaoili S.O.,2018,Recoletos Multidisciplinary Research Journal,Unknown Language,1,Cagayan State University,"COMP, EART"
Energy Conservation in Academic Institutions: An Application of Theory of Planned Behavior,Ermac E.A.,2018,Recoletos Multidisciplinary Research Journal,Unknown Language,1,Cebu Technological University,"ENER, ENVI"
From perfect to narrative tense: The development of an evidential meaning examined generally and in the Even language,Greed T.,2018,Studies in Language,Unknown Language,3,Helsingin Yliopisto,SOCI
Proportionality in Public Health Regulation: The Case of Dietary Supplements,Resnik D.B.,2018,Food Ethics,Unknown Language,5,National Institute of Environmental Health Sciences (NIEHS),"AGRI, ARTS, MEDI, SOCI"
