Area,Affiliation,Count,TotalCitedByCount,Normalized Count,Normalized TotalCitedByCount,Score
BIOC,Jiangnan University,12,71,0.3793103448275862,0.10872894333843798,0.2981359243808417
BIOC,Poznan University of Medical Sciences,11,20,0.3448275862068966,0.030627871362940276,0.2505676717537097
BIOC,Beijing Forestry University,8,34,0.2413793103448276,0.052067381,0.18458573163647884
BIOC,Jilin University,6,19,0.1724137931034483,0.029096478,0.12941859851085177
BIOC,Lovely Professional University,6,3,0.1724137931034483,0.004594181,0.1220679093837461
ENER,Jiangnan University,8,48,0.2413793103448276,0.073506891,0.1910175846226963
ENER,Centre de Développement des Energies Renouvelables,7,10,0.20689655172413793,0.015313935681470138,0.14942176691133757
ENER,Beijing Forestry University,5,17,0.13793103448275862,0.026033690658499236,0.1043618313354808
ENER,Université de Batna 1,5,1,0.13793103448275862,0.001531394,0.097011142
ENER,Zhengzhou University,4,46,0.10344827586206896,0.070444104,0.093547024
ECON,Southwest State University,19,76,0.6206896551724138,0.11638591117917305,0.46939853197444154
ECON,Beijing Jiaotong University,18,15,0.5862068965517241,0.022970903522205207,0.41723609864286837
ECON,Jiangnan University,10,59,0.3103448275862069,0.090352221,0.24434704546654695
ECON,Beijing Forestry University,7,31,0.20689655172413793,0.047473201,0.15906954639066376
ECON,Tianjin University of Science &amp; Technology,4,69,0.10344827586206896,0.10566615620214395,0.10411363996409145
